President,Promise,Category
Obama,Support improved weather prediction program',Environment
Obama,Provide at least $2 billion for services to Iraqi refugees',Military
Obama,Extend Production Tax Credit to encourage renewable energy',Environment
Obama,Create a specialized military advisers corps',Military
Obama,Help victims of superstorm Sandy 'rebuild their lives',Environment
Obama,Increase the number of high school students taking college-level courses',Education
Obama,Make sure Iran does not get a nuclear weapon',Military
Obama,Better enforce gun laws',Safety
Obama,Train and equip the Afghan army',Military
Obama,Work with UN on climate change',Environment
Obama,Safeguard the right to privacy',Safety
Obama,Create a voluntary national performance assessment for educators',Education
Obama,Revise the Patriot Act to increase oversight on government surveillance',Safety
Obama,Help restore Gulf Coast wetlands that protect against hurricanes',Environment
Obama,Establish special crime programs for the New Orleans area',Safety
Obama,Rebuild hospitals in New Orleans',Healthcare
Obama,Rebuild schools in New Orleans',Education
Obama,Equip troops to respond to new tactics',Military
Obama,Extend the American Opportunity Tax Credit',Taxes
Obama,Prevent corporate cyber-espionage',Military
Obama,Shake loose federal money for rebuilding the Gulf Coast',Environment
Obama,Include humanitarian international missions in long-term budgeting',Military
Obama,Increase participation in cancer-related clinical trials',Healthcare
Obama,"Accelerate the development of new medicines, vaccines and production capabilities'",Healthcare
Obama,Toughen enforcement for Internet exploitation of children',Safety
Obama,Provide incentives to draw employers into areas hardest-hit by Katrina',Environment
Obama,Extend child tax credits and marriage-penalty fixes',Taxes
Obama,Extend the Bush tax cuts for lower incomes',Taxes
Obama,Extend and index the 2007 Alternative Minimum Tax patch',Taxes
Obama,Phase out exemptions and deductions for higher earners',Taxes
Obama,Better integrate efforts of federal agencies with the military through new Mobile Development Teams',Military
Obama,"Modernize the nation\'s electricity grid and use ""smart grid"" practices'",Environment
Obama,Invest in transitional jobs and career pathway programs',Education
Obama,Improve recruitment of public health workers',Healthcare
Obama,Create clean coal partnerships',Education
Obama,Attract more doctors to rural areas',Healthcare
Obama,Provide easy-to-understand comparisons of the Medicare prescription drug plans',Healthcare
Obama,Phase in requirements for health information technology',Healthcare
Obama,Ensure that stem cell research is conducted ethically and with vigorous oversight',Healthcare
Obama,Modernize public health buildings',Healthcare
Obama,Strengthen the Nuclear Non-Proliferation Treaty',Military
Obama,Reduce dependence on foreign oil',Environment
Obama,Increase research opportunities for college students',Education
Obama,Dedicate more resources to fight employment discrimination against military reservists',Military
Obama,Enact measures to prevent nuclear fuel from becoming nuclear bombs',Military
Obama,Improve emergency response plans',Healthcare
Obama,Encourage contests and programs to interest students in science',Education
Obama,Help students and their families become aware of college readiness',Education
Obama,Direct rebuilding efforts from the White House after a catastrophe',Safety
Obama,Convene a summit on preventing nuclear terrorism',Military
Obama,Work with schools to create more healthful environments for children',Education
Obama,Commission a study on students with disabilities and their transition to jobs or higher education',Education
Obama,Educate business about the benefits of flexible work schedules and telecommuting',Education
Obama,Address the dropout crisis by giving schools incentives for more dropout prevention',Education
Obama,Create a Presidential Early Learning Council',Education
Obama,Provide tax credits for automakers to build fuel-efficient cars',Environment
Obama,Push for a college football playoff system',Education
